num_cpus,injection_rate,host_seconds
16,0.01,1.45
16,0.05,0.82
16,0.1,0.99
16,0.15,1.36
16,0.2,1.23
64,0.01,2.29
64,0.05,2.97
64,0.1,3.66
64,0.15,4.61
64,0.2,5.67
