num_cpus,injection_rate,host_seconds
16,0.01,0.43
16,0.05,0.52
16,0.1,0.6
16,0.15,0.65
16,0.2,0.75
64,0.01,2.0
64,0.05,2.4
64,0.1,2.97
64,0.15,3.55
64,0.2,3.86
